Origin;Origin_Num
ABE;1
ABI;2
ABQ;3
ABY;4
ACK;5
ACT;6
ACV;7
ACY;8
ADK;9
ADQ;10
AEX;11
AGS;12
AKN;13
ALB;14
ALO;15
AMA;16
ANC;17
ASE;18
ATL;19
ATW;20
AUS;21
AVL;22
AVP;23
AZO;24
BDL;25
BET;26
BFL;27
BGM;28
BGR;29
BHM;30
BIL;31
BIS;32
BJI;33
BLI;34
BMI;35
BNA;36
BOI;37
BOS;38
BPT;39
BQK;40
BQN;41
BRO;42
BRW;43
BTM;44
BTR;45
BTV;46
BUF;47
BUR;48
BWI;49
BZN;50
CAE;51
CAK;52
CDC;53
CDV;54
CEC;55
CHA;56
CHO;57
CHS;58
CIC;59
CID;60
CLD;61
CLE;62
CLL;63
CLT;64
CMH;65
CMI;66
CMX;67
COD;68
COS;69
CPR;70
CRP;71
CRW;72
CSG;73
CVG;74
CWA;75
DAB;76
DAL;77
DAY;78
DBQ;79
DCA;80
DEN;81
DFW;82
DHN;83
DLG;84
DLH;85
DRO;86
DSM;87
DTW;88
EGE;89
EKO;90
ELM;91
ELP;92
ERI;93
EUG;94
EVV;95
EWN;96
EWR;97
EYW;98
FAI;99
FAR;100
FAT;101
FAY;102
FCA;103
FLG;104
FLL;105
FLO;106
FNT;107
FSD;108
FSM;109
FWA;110
GCC;111
GEG;112
GFK;113
GGG;114
GJT;115
GNV;116
GPT;117
GRB;118
GRK;119
GRR;120
GSO;121
GSP;122
GST;123
GTF;124
GTR;125
GUC;126
HDN;127
HHH;128
HLN;129
HNL;130
HOU;131
HPN;132
HRL;133
HSV;134
HTS;135
IAD;136
IAH;137
ICT;138
IDA;139
ILM;140
IND;141
INL;142
IPL;143
ISP;144
ITH;145
ITO;146
IYK;147
JAC;148
JAN;149
JAX;150
JFK;151
JNU;152
KOA;153
KTN;154
LAN;155
LAS;156
LAW;157
LAX;158
LBB;159
LCH;160
LEX;161
LFT;162
LGA;163
LGB;164
LIH;165
LIT;166
LMT;167
LNK;168
LRD;169
LSE;170
LWB;171
LWS;172
LYH;173
MAF;174
MBS;175
MCI;176
MCN;177
MCO;178
MDT;179
MDW;180
MEI;181
MEM;182
MFE;183
MFR;184
MGM;185
MHT;186
MIA;187
MKE;188
MKG;189
MLB;190
MLI;191
MLU;192
MOB;193
MOD;194
MOT;195
MQT;196
MRY;197
MSN;198
MSO;199
MSP;200
MSY;201
MTJ;202
MYR;203
OAJ;204
OAK;205
OGG;206
OKC;207
OMA;208
OME;209
ONT;210
ORD;211
ORF;212
OTH;213
OTZ;214
OXR;215
PBI;216
PDX;217
PFN;218
PHF;219
PHL;220
PHX;221
PIA;222
PIH;223
PIR;224
PIT;225
PLN;226
PMD;227
PNS;228
PSC;229
PSE;230
PSG;231
PSP;232
PUB;233
PVD;234
PWM;235
RAP;236
RDD;237
RDM;238
RDU;239
RFD;240
RHI;241
RIC;242
RKS;243
RNO;244
ROA;245
ROC;246
ROW;247
RST;248
RSW;249
SAN;250
SAT;251
SAV;252
SBA;253
SBN;254
SBP;255
SCC;256
SCE;257
SDF;258
SEA;259
SFO;260
SGF;261
SGU;262
SHV;263
SIT;264
SJC;265
SJT;266
SJU;267
SLC;268
SLE;269
SMF;270
SMX;271
SNA;272
SPI;273
SPS;274
SRQ;275
STL;276
STT;277
STX;278
SUN;279
SUX;280
SWF;281
SYR;282
TEX;283
TLH;284
TOL;285
TPA;286
TRI;287
TUL;288
TUP;289
TUS;290
TVC;291
TWF;292
TXK;293
TYR;294
TYS;295
VLD;296
VPS;297
WRG;298
WYS;299
XNA;300
YAK;301
YKM;302
YUM;303
